N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
20,SK이노베이션,"209,500","6,000",-2.78%,"5,000","193,715","92,466",23.61,"615,852","-6,161.76",-13.58,
21,카카오페이,"128,000","1,500",+1.19%,500,"168,810","131,883",42.74,"387,942",-636.82,-17.97,
22,SK,"225,500","2,500",+1.12%,200,"167,207","74,149",21.81,"188,895",26.35,1.11,
23,LG생활건강,"974,000","6,000",+0.62%,"5,000","152,121","15,618",42.54,"119,961",20.27,17.92,
24,한국전력,"22,950",750,+3.38%,"5,000","147,331","641,964",14.53,"1,912,126",-13.52,2.91,
25,하나금융지주,"48,600",600,+1.25%,"5,000","145,918","300,242",70.06,"1,831,100",4.54,8.96,
26,크래프톤,"297,000",0,0.00%,100,"145,447","48,972",29.22,"269,231",23.28,61.86,
27,삼성생명,"64,900",100,+0.15%,500,"129,800","200,000",12.70,"517,292",8.30,3.53,
28,삼성전기,"171,000",0,0.00%,"5,000","127,726","74,694",29.70,"590,760",13.14,10.92,
29,SK바이오사이언스,"162,500","1,000",-0.61%,500,"124,312","76,500",5.26,"596,411",62.57,13.25,
30,LG,"77,800",700,+0.91%,"5,000","122,380","157,301",36.23,"269,981",5.13,7.50,
31,SK텔레콤,"55,600",600,-1.07%,100,"121,671","218,833",45.00,"997,861",8.63,6.44,
32,엔씨소프트,"550,000","10,000",+1.85%,500,"120,747","21,954",43.71,"250,250",33.96,20.83,
33,HMM,"24,650",200,+0.82%,"5,000","120,548","489,039",10.60,"2,376,572",3.10,8.93,
34,우리금융지주,"15,550",300,-1.89%,"5,000","113,213","728,061",32.26,"3,183,851",4.76,5.87,
35,삼성에스디에스,"142,500","1,000",+0.71%,500,"110,263","77,378",11.36,"115,842",16.22,6.71,
